1[[Occupation="Occupation"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaIndividualNumber;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaEducation;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaCapitalGain]
2 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha1;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
3 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha13;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
4 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha34;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
5 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha38;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
6 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha44;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
7 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha59;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
8 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha67;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
9 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha68;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
10 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha77;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
11 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha109;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
12 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha127;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
13 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha128;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
14 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha138;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
15 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha151;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
16 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha152;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
17 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha182;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
18 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha185;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
