1[[IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaIndividualNumber;Salary="Salary"^^<http://www.w3.org/2001/XMLSchema#string>;Age="Age"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Sex"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaOccupation;WorkClass="WorkClass"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="HoursPerWeek"^^<http://www.w3.org/2001/XMLSchema#string>]
2 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha1;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="39"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
3 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha2;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="50"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
4 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha3;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="38"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
5 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha4;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="53"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
6 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha5;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="28"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Female"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
7 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha6;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="37"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Female"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
8 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha7;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="49"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Female"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
9 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha13;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="23"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Female"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
10 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha14;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="32"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
11 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha16;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="34"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
